1,1,"That which was from the beginning, which we have heard, which we have seen with our eyes, which we have looked upon, and our hands have handled, of the Word of life;"
1,9,"If we confess our sins, he is faithful and just to forgive us our sins, and to cleanse us from all unrighteousness."
2,3,"And hereby we do know that we know him, if we keep his commandments."
