"chapter","verse","text"
1,9,"And for this cause we also, since the day we heard it, do not cease to pray for you, and to desire that ye might be filled with the knowledge of his will in all wisdom and spiritual understanding;"
1,12,"Giving thanks unto the Father, which hath made us meet to be partakers of the inheritance of the saints in light:"
1,23,"If ye continue in the faith grounded and settled, and be not moved away from the hope of the gospel, which ye have heard, and which was preached to every creature which is under heaven; whereof I Paul am made a minister;"
2,6,"As ye have therefore received Christ Jesus the Lord, so walk ye in him:"
2,14,"Blotting out the handwriting of ordinances that was against us, which was contrary to us, and took it out of the way, nailing it to his cross;"
3,2,"Set your affection on things above, not on things on the earth."
3,12,"Put on therefore, as the elect of God, holy and beloved, bowels of mercies, kindness, humbleness of mind, meekness, longsuffering;"
3,23,"And whatsoever ye do, do it heartily, as to the Lord, and not unto men;"
4,2,"Continue in prayer, and watch in the same with thanksgiving;"
